participant_id,task,task_deadline,task_deadline_day,task_points,task_concreteness,task_difficulty,task_duration,perceived_concreteness,perceived_difficulty,perceived_duration,perceived_reward,completed,completion_count,first_completion_time,relative_completion_day,days_late,discounted_points
wagtail,Sort a deck of cards,Tuesday,1,5,high,easy,short,10.0,1.0,1.0,3.0,True,1,2025-12-05 23:44:17,1.0,0.0,5.0
wagtail,Complete a short quiz,Thursday,3,5,high,easy,short,10.0,4.0,2.0,2.0,True,1,2025-12-08 22:34:58,4.0,1.0,4.5
wagtail,Complete fraternity chore,Saturday,5,25,high,medium,long,8.0,2.0,3.0,5.0,False,0,,,,
wagtail,Write a brief reflection,Tuesday,1,15,medium,medium,medium,5.0,3.0,4.0,7.0,False,0,,,,
wagtail,Draw for ten minutes,Thursday,3,10,medium,easy,medium,3.0,3.0,4.0,3.0,False,0,,,,
wagtail,Solve a logic puzzle,Saturday,5,15,medium,hard,medium,7.0,7.0,6.0,5.0,True,1,2025-12-08 22:42:34,4.0,-1.0,15.0
wagtail,Explain a difficult concept from class,Tuesday,1,20,low,hard,medium,5.0,9.0,8.0,7.0,False,0,,,,
wagtail,Analyze a short passage,Thursday,3,20,low,hard,long,2.0,6.0,7.0,1.0,False,0,,,,
gila monster,Sort a deck of cards,Tuesday,1,5,high,easy,short,10.0,2.0,2.0,6.0,False,0,,,,
gila monster,Complete a short quiz,Thursday,3,5,high,easy,short,8.0,4.0,4.0,5.0,False,0,,,,
gila monster,Complete fraternity chore,Saturday,5,25,high,medium,long,6.0,7.0,7.0,7.0,False,0,,,,
gila monster,Write a brief reflection,Tuesday,1,15,medium,medium,medium,6.0,5.0,6.0,3.0,False,0,,,,
gila monster,Draw for ten minutes,Thursday,3,10,medium,easy,medium,8.0,3.0,4.0,6.0,False,0,,,,
gila monster,Solve a logic puzzle,Saturday,5,15,medium,hard,medium,9.0,2.0,5.0,5.0,False,0,,,,
gila monster,Explain a difficult concept from class,Tuesday,1,20,low,hard,medium,7.0,4.0,4.0,6.0,True,1,2025-12-02 14:48:36,1.0,0.0,20.0
gila monster,Analyze a short passage,Thursday,3,20,low,hard,long,6.0,4.0,6.0,5.0,False,0,,,,
aphid-1,Sort a deck of cards,Tuesday,1,5,high,easy,short,8.0,1.0,1.0,1.0,True,1,2025-12-02 10:55:02,1.0,0.0,5.0
aphid-1,Complete a short quiz,Thursday,3,5,high,easy,short,8.0,1.0,1.0,2.0,True,1,2025-12-01 23:36:55,0.0,-3.0,5.0
