Timestamp,Anonymous Participant ID,Which task are you logging?,Did you fully complete the task?,"If you did not fully complete the task, how much did you complete?","If you fully completed the task, please submit a screenshot of the completed task."
12/1/2025 17:08:00,kingfisher,Complete a short quiz,Yes,,https://drive.google.com/open?id=1A5k_44QHlH3xYIKAbPa6HZ-CBPSkdgyN
12/1/2025 17:33:33,kingfisher,Draw for ten minutes,Yes,,https://drive.google.com/open?id=1MC__SeuxQdC9BdwrdWDf1kVRlbC4ZSsP
12/1/2025 17:41:33,kingfisher,Solve a logic puzzle,Yes,,https://drive.google.com/open?id=18YIO-hgAAZu8Z-9AbvmnUdwCQ_sqOQCe
12/1/2025 23:36:55,Aphid-1,Complete a short quiz,Yes,,https://drive.google.com/open?id=1uO3fzLawDPqPJq5rc_q2xaW-kuye-v28
12/1/2025 23:42:42,Aphid-1,Solve a logic puzzle,Yes,,https://drive.google.com/open?id=1tYZPglS79pN7NMLKKWLMJJhxHFHz-Qn6
12/1/2025 23:54:54,Aphid-1,Write a brief reflection,Yes,"Not that I didn't fully complete it, but I blurred out some things for privacy. Let me know if you guys need another reflection or something.",https://drive.google.com/open?id=1gEfRipbxZ2DMkAKvA7o1yD4WMsb5HkUR
12/2/2025 10:55:02,Aphid-1,Sort a deck of cards,Yes,,https://drive.google.com/open?id=1PbQvTguO-cTyCmBCkfkR5vQ6sEMJDTla
12/2/2025 14:48:36,gila monster,Explain a difficult concept from class,Yes,,https://drive.google.com/open?id=1KNs0YsPDd4XcA2uf8Mo_M5zdJxqtsOck
12/2/2025 22:45:45,Aphid-1,Explain a difficult concept from class,Yes,,"https://drive.google.com/open?id=1Cf5qQw2w4QlBU-TxbR_NcyQo5kWlOdVe, https://drive.google.com/open?id=1HF8jUmf2RAG7btzb3ZcCOuKKox8iA_UY"
12/5/2025 23:44:17,Wagtail,Sort a deck of cards,Yes,,https://drive.google.com/open?id=1Wj9RBRsQX5qtsuTdj0ioCQ_g4zF-D6ob
12/6/2025 1:49:35,Aphid-2,Sort a deck of cards,Yes,,https://drive.google.com/open?id=1FQvtCDGA0641PZBIFnNFu0beqnBUDwRj
12/8/2025 22:34:58,Wagtail,Complete a short quiz,Yes,,https://drive.google.com/open?id=1lISj24EKVeL04Z2NAucPCxro-twoT6HH
12/8/2025 22:42:34,Wagtail,Solve a logic puzzle,Yes,,https://drive.google.com/open?id=1c5OR2Xs3SVYH7sDxku3M4GHBQHWsh0FV
12/9/2025 0:25:46,Aphid-2,Complete a short quiz,Yes,,https://drive.google.com/open?id=1F3D4J8YIs-qa6aSerSAqThwh8RNpBi9X
12/9/2025 0:34:22,Aphid-2,Solve a logic puzzle,Yes,,https://drive.google.com/open?id=12jwW8inkFdWOL2cQZYgBbrr3jwRYgaIk
12/9/2025 0:47:03,Aphid-2,Write a brief reflection,Yes,,https://drive.google.com/open?id=1R2Qu6A_pbml8_j2yWl_7sHTkBlh-2fGD
